CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude,CaseCategoryID,GravityOffenceID,CaseStatusID,CrimeType,BriefFacts
1,100241179202600001,202600001,2024-04-20,1179,15.429164,75.713003,1,2,3,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
2,100041037202600002,202600002,2026-01-04,1037,12.97699,74.802813,1,2,2,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
3,100101090202600003,202600003,2024-06-01,1090,14.392326,75.852948,1,2,1,Cybercrime,"Fraudster contacted the victim from +919243839315 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹12161 was debited from their SBI account."
4,100011015202600004,202600004,2024-04-27,1015,13.055338,77.599261,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹275797 and cash were stolen.
5,100011013202600005,202600005,2025-01-02,1013,13.077629,77.578017,1,1,1,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1059481 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
6,100261195202600006,202600006,2025-12-07,1195,16.258044,75.667472,1,1,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹241497 and cash were stolen.
7,100291214202600007,202600007,2026-04-22,1214,15.311492,76.101922,3,1,4,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹169884 to UPI ID scammer39@paytm. When trying to withdraw, the scammers vanished."
8,100011003202600008,202600008,2024-04-16,1003,13.025903,77.619348,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
9,100051045202600009,202600009,2025-10-13,1045,15.768793,74.424511,1,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹692683 as advance for a site. Later it was found the documents were forged.
10,100011011202600010,202600010,2025-04-11,1011,13.049925,77.651657,1,2,2,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
11,100011009202600011,202600011,2024-11-27,1009,12.900986,77.606413,1,1,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
12,100031032202600012,202600012,2025-04-14,1032,12.313349,76.656636,3,1,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹946305 as advance for a site. Later it was found the documents were forged.
13,100271197202600013,202600013,2025-02-14,1197,17.815059,77.494806,1,2,1,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹399240 to clear their name.
14,100061056202600014,202600014,2026-02-24,1056,15.456084,75.090522,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
15,100011013202600015,202600015,2024-07-22,1013,13.049506,77.559592,1,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹374680 as advance for a site. Later it was found the documents were forged.
16,100271201202600016,202600016,2024-08-19,1201,17.988931,77.541695,1,1,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
17,100241177202600017,202600017,2025-07-09,1177,15.449087,75.703033,3,2,2,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹359665 to clear their name.
18,100011015202600018,202600018,2025-01-02,1015,13.060147,77.627776,3,1,3,Kidnapping,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
19,100011015202600019,202600019,2025-10-01,1015,13.055662,77.627775,1,2,1,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
20,100221168202600020,202600020,2024-12-11,1168,13.187304,78.159588,1,1,1,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹690031 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
21,100211161202600021,202600021,2025-06-29,1161,13.462211,77.785101,1,1,3,Fraud/Cheating,The accused posed as a real estate agent and collected ₹519093 as advance for a site. Later it was found the documents were forged.
22,100011010202600022,202600022,2025-02-16,1010,13.042628,77.488447,1,2,1,Cybercrime,"Fraudster contacted the victim from +917713658874 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹27654 was debited from their SBI account."
23,100041038202600023,202600023,2024-03-09,1038,12.945985,74.847386,1,2,3,Fraud/Cheating,The accused posed as a real estate agent and collected ₹101773 as advance for a site. Later it was found the documents were forged.
24,100011007202600024,202600024,2024-04-18,1007,12.893738,77.539294,1,1,4,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
25,100031030202600025,202600025,2025-05-21,1030,12.230656,76.602965,1,2,3,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹127504 and cash were stolen.
26,100011010202600026,202600026,2025-04-12,1010,13.013502,77.487377,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹268556 and cash were stolen.
27,100031031202600027,202600027,2024-11-27,1031,12.405454,76.685793,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
28,100061061202600028,202600028,2025-06-04,1061,15.409619,75.144139,1,1,4,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹362738 to clear their name.
29,100051045202600029,202600029,2025-12-08,1045,15.776616,74.402482,1,1,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹100970 and cash were stolen.
